I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.067,0.111,0.045,-0.089,0.01,0.078,0.018,0.368,0.199,0.113,0.087,0.047
0.091,0.136,0.045,-0.114,0.023,0.09,0.021,0.441,0.25,0.167,0.131,0.084
0.115,0.162,0.047,-0.139,0.034,0.105,0.02,0.493,0.299,0.211,0.167,0.119
0.11,0.161,0.05,-0.136,0.03,0.106,0.02,0.516,0.312,0.234,0.193,0.14
0.104,0.154,0.05,-0.129,0.027,0.102,0.02,0.512,0.301,0.231,0.199,0.148
0.104,0.153,0.05,-0.129,0.027,0.101,0.02,0.468,0.293,0.22,0.191,0.138
0.092,0.142,0.05,-0.117,0.021,0.096,0.027,0.378,0.249,0.196,0.167,0.115
0.057,0.106,0.049,-0.081,0.004,0.078,0.028,0.27,0.178,0.133,0.119,0.074
0.03,0.076,0.046,-0.053,-0.008,0.061,0.025,0.178,0.108,0.072,0.063,0.025
0.012,0.055,0.043,-0.034,-0.016,0.049,0.025,0.109,0.049,0.019,0.011,-0.02
-0.02,0.02,0.041,0.0,-0.031,0.03,0.022,0.057,0.008,-0.015,-0.027,-0.051
-0.047,-0.01,0.037,0.028,-0.042,0.013,0.019,0.026,-0.018,-0.026,-0.044,-0.063
-0.051,-0.016,0.035,0.033,-0.043,0.009,0.021,0.012,-0.034,-0.046,-0.052,-0.069
-0.047,-0.015,0.032,0.031,-0.04,0.009,0.024,-0.001,-0.05,-0.058,-0.062,-0.073
-0.044,-0.014,0.03,0.029,-0.036,0.007,0.025,-0.012,-0.056,-0.061,-0.061,-0.078
-0.049,-0.02,0.03,0.035,-0.039,0.005,0.025,-0.023,-0.055,-0.072,-0.057,-0.079
-0.062,-0.031,0.03,0.046,-0.046,0.0,0.025,-0.028,-0.055,-0.076,-0.055,-0.075
-0.056,-0.027,0.03,0.041,-0.042,0.001,0.025,-0.023,-0.055,-0.074,-0.051,-0.075
-0.052,-0.021,0.031,0.036,-0.041,0.005,0.023,-0.017,-0.055,-0.075,-0.05,-0.075
-0.05,-0.016,0.034,0.033,-0.042,0.009,0.019,-0.014,-0.055,-0.075,-0.047,-0.075
-0.047,-0.01,0.037,0.028,-0.042,0.013,0.02,-0.008,-0.054,-0.075,-0.041,-0.075
-0.045,-0.005,0.039,0.025,-0.042,0.017,0.02,-0.006,-0.049,-0.069,-0.036,-0.072
-0.043,-0.001,0.043,0.022,-0.043,0.021,0.02,-0.01,-0.046,-0.062,-0.033,-0.069
-0.044,0.001,0.045,0.021,-0.045,0.023,0.019,-0.011,-0.043,-0.056,-0.027,-0.066
-0.038,0.005,0.043,0.017,-0.041,0.024,0.016,-0.01,-0.038,-0.049,-0.026,-0.063
-0.03,0.007,0.037,0.011,-0.034,0.022,0.013,-0.011,-0.036,-0.042,-0.032,-0.06
-0.022,0.011,0.033,0.006,-0.027,0.021,0.01,-0.009,-0.031,-0.042,-0.036,-0.061
-0.021,0.008,0.028,0.006,-0.025,0.018,0.007,-0.013,-0.031,-0.05,-0.039,-0.065
-0.023,0.001,0.024,0.011,-0.024,0.012,0.005,-0.021,-0.043,-0.055,-0.044,-0.065
-0.023,-0.003,0.019,0.013,-0.021,0.008,0.002,-0.027,-0.048,-0.058,-0.047,-0.065
-0.025,-0.009,0.015,0.017,-0.02,0.003,0.0,-0.035,-0.052,-0.063,-0.052,-0.069
-0.03,-0.015,0.015,0.022,-0.022,0.0,0.0,-0.043,-0.064,-0.072,-0.055,-0.076
-0.033,-0.02,0.014,0.026,-0.023,-0.003,0.0,-0.049,-0.071,-0.08,-0.055,-0.081
-0.038,-0.027,0.01,0.032,-0.024,-0.008,-0.001,-0.055,-0.073,-0.084,-0.055,-0.085
-0.044,-0.035,0.009,0.04,-0.026,-0.013,-0.004,-0.057,-0.084,-0.085,-0.058,-0.085
-0.053,-0.035,0.019,0.044,-0.036,-0.008,-0.007,-0.065,-0.092,-0.085,-0.062,-0.085
-0.064,-0.038,0.026,0.051,-0.045,-0.006,-0.01,-0.069,-0.087,-0.085,-0.065,-0.085
-0.059,-0.041,0.018,0.05,-0.039,-0.011,-0.012,-0.072,-0.085,-0.085,-0.069,-0.085
-0.051,-0.036,0.015,0.043,-0.033,-0.011,-0.016,-0.075,-0.082,-0.087,-0.07,-0.089
-0.047,-0.036,0.01,0.041,-0.028,-0.013,-0.013,-0.077,-0.079,-0.095,-0.07,-0.09
-0.036,-0.032,0.005,0.034,-0.02,-0.014,-0.006,-0.081,-0.088,-0.099,-0.07,-0.09
-0.054,-0.045,0.009,0.049,-0.032,-0.018,-0.002,-0.078,-0.093,-0.095,-0.07,-0.09
-0.067,-0.052,0.015,0.059,-0.04,-0.019,0.005,-0.071,-0.086,-0.088,-0.07,-0.091
-0.061,-0.039,0.021,0.05,-0.041,-0.009,0.01,-0.064,-0.082,-0.082,-0.071,-0.089
-0.056,-0.031,0.026,0.043,-0.041,-0.002,0.016,-0.057,-0.076,-0.073,-0.065,-0.08
-0.045,-0.014,0.032,0.029,-0.038,0.009,0.019,-0.05,-0.073,-0.068,-0.057,-0.072
-0.034,0.012,0.046,0.011,-0.04,0.028,0.025,-0.045,-0.067,-0.061,-0.049,-0.063
0.008,0.045,0.037,-0.027,-0.015,0.041,0.016,-0.05,-0.039,-0.049,-0.038,-0.055
0.04,0.057,0.017,-0.049,0.011,0.037,-0.026,-0.051,-0.018,-0.039,-0.025,-0.051
0.044,0.055,0.011,-0.05,0.016,0.032,-0.043,-0.048,-0.022,-0.03,-0.022,-0.048
0.026,0.035,0.009,-0.031,0.008,0.022,-0.035,-0.066,-0.062,-0.052,-0.033,-0.052
-0.003,0.008,0.011,-0.003,-0.007,0.01,-0.034,-0.089,-0.09,-0.079,-0.042,-0.048
-0.022,-0.014,0.008,0.018,-0.015,-0.003,-0.028,-0.083,-0.093,-0.092,-0.062,-0.061
-0.043,-0.031,0.012,0.037,-0.028,-0.009,-0.024,-0.099,-0.112,-0.103,-0.071,-0.084
-0.077,-0.071,0.006,0.074,-0.041,-0.032,-0.019,-0.109,-0.135,-0.135,-0.101,-0.105
-0.098,-0.096,0.002,0.097,-0.05,-0.046,-0.014,-0.098,-0.126,-0.128,-0.108,-0.116
-0.086,-0.091,-0.004,0.089,-0.041,-0.047,-0.012,-0.115,-0.136,-0.128,-0.099,-0.116
-0.079,-0.09,-0.011,0.085,-0.034,-0.051,-0.003,-0.091,-0.126,-0.137,-0.111,-0.131
-0.058,-0.07,-0.012,0.065,-0.023,-0.04,0.002,-0.127,-0.124,-0.115,-0.082,-0.095
-0.074,-0.111,-0.037,0.093,-0.018,-0.074,0.058,-0.026,-0.085,-0.151,-0.135,-0.147
-0.061,-0.085,-0.024,0.073,-0.018,-0.054,0.136,0.203,0.123,0.017,-0.062,-0.156
0.062,0.032,-0.03,-0.047,0.046,0.001,0.132,0.409,0.483,0.345,0.192,0.023
0.408,0.425,0.017,-0.416,0.195,0.22,-0.057,0.344,1.056,1.258,1.071,0.712
0.617,0.68,0.062,-0.649,0.277,0.371,-0.461,-0.766,0.428,1.276,1.415,1.219
0.121,0.251,0.13,-0.186,-0.005,0.19,-0.661,-1.832,-1.164,-0.458,0.06,0.382
-0.262,-0.096,0.166,0.179,-0.214,0.035,-0.428,-1.447,-1.286,-0.982,-0.608,-0.29
-0.122,-0.147,-0.024,0.135,-0.049,-0.085,-0.16,-0.57,-0.597,-0.488,-0.337,-0.208
-0.069,-0.107,-0.038,0.088,-0.015,-0.072,-0.047,-0.18,-0.254,-0.262,-0.195,-0.169
-0.09,-0.066,0.024,0.078,-0.057,-0.021,0.003,-0.076,-0.128,-0.118,-0.084,-0.106
-0.084,-0.081,0.003,0.082,-0.044,-0.038,0.012,-0.042,-0.132,-0.141,-0.111,-0.103
-0.074,-0.062,0.012,0.068,-0.043,-0.025,0.016,-0.029,-0.097,-0.102,-0.084,-0.092
-0.061,-0.064,-0.003,0.063,-0.029,-0.034,0.015,-0.014,-0.092,-0.107,-0.085,-0.084
-0.052,-0.055,-0.003,0.054,-0.024,-0.029,0.014,-0.006,-0.081,-0.092,-0.074,-0.082
-0.045,-0.055,-0.01,0.05,-0.017,-0.032,0.016,0.006,-0.071,-0.08,-0.059,-0.069
-0.045,-0.056,-0.011,0.05,-0.016,-0.033,0.013,0.014,-0.066,-0.079,-0.057,-0.069
-0.031,-0.054,-0.023,0.042,-0.003,-0.038,0.01,0.026,-0.053,-0.063,-0.042,-0.057
-0.031,-0.056,-0.026,0.044,-0.002,-0.041,0.01,0.034,-0.049,-0.063,-0.043,-0.054
-0.035,-0.053,-0.018,0.044,-0.008,-0.035,0.008,0.046,-0.037,-0.048,-0.03,-0.044
-0.028,-0.046,-0.018,0.037,-0.004,-0.032,0.004,0.062,-0.028,-0.045,-0.027,-0.041
-0.021,-0.032,-0.011,0.027,-0.005,-0.021,0.005,0.087,-0.009,-0.034,-0.019,-0.03
-0.008,-0.018,-0.01,0.013,0.002,-0.014,0.001,0.124,0.025,-0.021,-0.01,-0.019
0.016,-0.005,-0.021,-0.005,0.019,-0.013,0.0,0.173,0.058,0.01,0.019,-0.003
0.039,0.011,-0.027,-0.025,0.033,-0.008,0.0,0.241,0.104,0.055,0.063,0.029
0.067,0.044,-0.023,-0.055,0.045,0.011,0.0,0.318,0.17,0.113,0.099,0.054
0.098,0.066,-0.032,-0.082,0.065,0.016,0.0,0.394,0.228,0.169,0.142,0.085
0.119,0.077,-0.042,-0.098,0.08,0.017,0.001,0.464,0.28,0.214,0.182,0.124
0.133,0.096,-0.037,-0.114,0.085,0.029,0.006,0.505,0.305,0.248,0.211,0.137
0.136,0.102,-0.034,-0.118,0.085,0.034,0.012,0.511,0.301,0.25,0.219,0.129
0.124,0.093,-0.031,-0.109,0.078,0.031,0.015,0.486,0.296,0.244,0.21,0.125
0.094,0.068,-0.025,-0.081,0.059,0.021,0.02,0.401,0.253,0.212,0.183,0.116
0.061,0.034,-0.027,-0.047,0.043,0.004,0.024,0.298,0.179,0.151,0.135,0.082
0.036,0.006,-0.03,-0.021,0.033,-0.012,0.022,0.203,0.107,0.083,0.082,0.035
0.006,-0.024,-0.03,0.009,0.018,-0.027,0.019,0.122,0.046,0.027,0.04,-0.008
-0.005,-0.046,-0.042,0.026,0.019,-0.044,0.021,0.062,0.001,-0.004,0.012,-0.034
-0.008,-0.054,-0.046,0.031,0.019,-0.05,0.02,0.02,-0.035,-0.036,-0.015,-0.049
-0.022,-0.066,-0.044,0.044,0.012,-0.055,0.018,0.002,-0.053,-0.062,-0.039,-0.061
-0.031,-0.076,-0.045,0.054,0.007,-0.061,0.034,-0.004,-0.06,-0.072,-0.05,-0.062
-0.038,-0.083,-0.045,0.061,0.004,-0.063,0.04,-0.011,-0.062,-0.075,-0.05,-0.059
-0.038,-0.083,-0.045,0.061,0.004,-0.064,0.031,-0.019,-0.074,-0.08,-0.051,-0.056
-0.036,-0.076,-0.04,0.056,0.002,-0.057,0.03,-0.027,-0.08,-0.076,-0.055,-0.053
-0.034,-0.069,-0.035,0.052,0.001,-0.052,0.023,-0.028,-0.073,-0.069,-0.055,-0.05
-0.033,-0.063,-0.03,0.048,-0.001,-0.046,0.02,-0.021,-0.07,-0.065,-0.053,-0.048
-0.028,-0.055,-0.027,0.042,0.0,-0.041,0.027,-0.016,-0.065,-0.059,-0.046,-0.045
-0.031,-0.051,-0.02,0.041,-0.005,-0.035,0.026,-0.011,-0.06,-0.054,-0.039,-0.042
-0.024,-0.048,-0.024,0.036,0.0,-0.036,0.025,-0.005,-0.056,-0.049,-0.033,-0.04
0.001,-0.045,-0.046,0.022,0.024,-0.045,0.024,0.0,-0.051,-0.044,-0.025,-0.036
0.008,-0.043,-0.051,0.018,0.03,-0.047,0.02,0.006,-0.046,-0.041,-0.021,-0.035
0.011,-0.038,-0.049,0.014,0.03,-0.044,0.02,0.016,-0.043,-0.038,-0.024,-0.035
0.004,-0.047,-0.051,0.021,0.027,-0.049,0.018,0.018,-0.037,-0.033,-0.026,-0.035
-0.012,-0.061,-0.049,0.037,0.019,-0.055,0.014,0.011,-0.034,-0.03,-0.024,-0.035
-0.016,-0.067,-0.051,0.042,0.018,-0.059,0.012,0.004,-0.036,-0.034,-0.026,-0.035
-0.017,-0.072,-0.055,0.045,0.019,-0.064,0.009,-0.002,-0.033,-0.039,-0.024,-0.035
-0.022,-0.077,-0.055,0.05,0.017,-0.066,0.006,-0.01,-0.046,-0.046,-0.029,-0.036
-0.025,-0.08,-0.055,0.053,0.015,-0.067,0.004,-0.015,-0.062,-0.053,-0.043,-0.041
-0.02,-0.075,-0.055,0.048,0.018,-0.065,0.001,-0.022,-0.063,-0.059,-0.045,-0.045
-0.02,-0.075,-0.055,0.048,0.018,-0.065,0.0,-0.031,-0.067,-0.061,-0.046,-0.049
-0.019,-0.073,-0.054,0.047,0.018,-0.064,0.0,-0.04,-0.073,-0.059,-0.05,-0.054
-0.021,-0.07,-0.049,0.046,0.014,-0.06,0.0,-0.048,-0.079,-0.071,-0.05,-0.056
-0.018,-0.068,-0.051,0.043,0.016,-0.059,0.0,-0.05,-0.08,-0.082,-0.055,-0.059
-0.027,-0.077,-0.05,0.052,0.011,-0.063,0.002,-0.05,-0.081,-0.085,-0.055,-0.06
-0.041,-0.09,-0.05,0.065,0.005,-0.07,0.005,-0.05,-0.078,-0.09,-0.056,-0.06
-0.024,-0.09,-0.066,0.057,0.021,-0.078,0.005,-0.05,-0.089,-0.087,-0.06,-0.06
-0.026,-0.093,-0.068,0.06,0.021,-0.08,0.008,-0.05,-0.1,-0.081,-0.06,-0.06
-0.038,-0.096,-0.059,0.067,0.011,-0.077,0.011,-0.045,-0.09,-0.077,-0.058,-0.06
-0.039,-0.091,-0.052,0.065,0.007,-0.072,0.009,-0.045,-0.082,-0.073,-0.051,-0.061
-0.027,-0.074,-0.047,0.05,0.01,-0.06,0.023,-0.041,-0.074,-0.067,-0.044,-0.054
-0.02,-0.058,-0.038,0.04,0.009,-0.048,0.034,-0.04,-0.066,-0.064,-0.037,-0.042
-0.004,-0.038,-0.034,0.021,0.016,-0.036,0.028,-0.037,-0.048,-0.054,-0.031,-0.029
0.009,-0.018,-0.027,0.005,0.018,-0.023,0.032,-0.035,-0.037,-0.047,-0.034,-0.025
0.026,-0.007,-0.034,-0.009,0.03,-0.02,0.004,-0.035,-0.021,-0.033,-0.037,-0.025
0.039,-0.02,-0.058,-0.009,0.049,-0.039,-0.026,-0.035,-0.025,-0.029,-0.039,-0.024
0.004,-0.061,-0.064,0.029,0.034,-0.062,-0.019,-0.058,-0.077,-0.06,-0.044,-0.027
0.029,-0.054,-0.082,0.013,0.055,-0.068,-0.011,-0.076,-0.091,-0.075,-0.042,-0.022
0.013,-0.071,-0.084,0.029,0.049,-0.077,-0.002,-0.071,-0.088,-0.083,-0.054,-0.036
-0.046,-0.119,-0.073,0.083,0.014,-0.096,0.003,-0.083,-0.117,-0.101,-0.076,-0.061
-0.066,-0.142,-0.076,0.105,0.005,-0.109,0.013,-0.08,-0.125,-0.132,-0.109,-0.086
-0.083,-0.146,-0.063,0.115,-0.01,-0.105,0.009,-0.086,-0.121,-0.117,-0.1,-0.082
-0.088,-0.158,-0.07,0.124,-0.009,-0.113,0.011,-0.071,-0.13,-0.135,-0.124,-0.092
-0.086,-0.152,-0.066,0.119,-0.009,-0.109,0.001,-0.063,-0.106,-0.106,-0.112,-0.082
-0.078,-0.162,-0.085,0.12,0.003,-0.123,0.019,-0.064,-0.129,-0.124,-0.126,-0.083
-0.097,-0.174,-0.078,0.136,-0.009,-0.126,0.102,0.117,0.01,-0.073,-0.133,-0.135
-0.042,-0.107,-0.064,0.075,0.011,-0.085,0.143,0.328,0.285,0.154,0.012,-0.081
0.192,0.146,-0.046,-0.169,0.119,0.05,0.074,0.448,0.819,0.773,0.559,0.305
0.516,0.599,0.083,-0.558,0.217,0.341,-0.219,-0.067,1.02,1.632,1.538,1.15
0.326,0.468,0.142,-0.397,0.092,0.305,-0.554,-1.3,-0.402,0.535,0.905,0.967
-0.197,-0.038,0.16,0.117,-0.179,0.061,-0.55,-1.683,-1.471,-0.998,-0.508,-0.077
-0.225,-0.196,0.029,0.211,-0.127,-0.084,-0.274,-0.929,-0.968,-0.774,-0.539,-0.26
-0.089,-0.205,-0.116,0.147,0.014,-0.16,-0.086,-0.297,-0.398,-0.374,-0.282,-0.165
-0.082,-0.138,-0.056,0.11,-0.013,-0.097,-0.023,-0.087,-0.14,-0.169,-0.136,-0.125
-0.067,-0.123,-0.056,0.095,-0.005,-0.089,0.026,-0.028,-0.092,-0.114,-0.095,-0.069
-0.06,-0.117,-0.057,0.089,-0.002,-0.087,0.036,-0.011,-0.074,-0.116,-0.111,-0.081
-0.052,-0.102,-0.05,0.077,-0.001,-0.075,0.035,0.009,-0.056,-0.085,-0.079,-0.059
-0.052,-0.104,-0.053,0.078,0.001,-0.079,0.035,0.018,-0.06,-0.099,-0.094,-0.066
-0.046,-0.093,-0.047,0.069,0.001,-0.07,0.035,0.027,-0.041,-0.072,-0.07,-0.051
-0.04,-0.096,-0.056,0.069,0.008,-0.076,0.036,0.035,-0.043,-0.08,-0.076,-0.052
-0.034,-0.087,-0.054,0.061,0.01,-0.07,0.031,0.039,-0.029,-0.064,-0.064,-0.043
-0.032,-0.087,-0.055,0.06,0.012,-0.07,0.03,0.055,-0.025,-0.062,-0.062,-0.035
-0.032,-0.082,-0.049,0.057,0.009,-0.065,0.03,0.074,-0.018,-0.054,-0.055,-0.03
-0.024,-0.074,-0.05,0.049,0.013,-0.062,0.03,0.089,-0.003,-0.038,-0.05,-0.022
-0.016,-0.066,-0.05,0.041,0.017,-0.058,0.03,0.114,0.021,-0.023,-0.032,-0.013
0.002,-0.047,-0.049,0.022,0.026,-0.048,0.028,0.145,0.045,-0.001,-0.001,0.0
0.03,-0.02,-0.05,-0.005,0.041,-0.035,0.025,0.183,0.072,0.027,0.016,0.016
0.057,0.004,-0.053,-0.03,0.055,-0.024,0.022,0.234,0.113,0.062,0.04,0.045
0.073,0.017,-0.056,-0.044,0.064,-0.019,0.02,0.3,0.166,0.103,0.068,0.065
0.09,0.031,-0.059,-0.061,0.074,-0.013,0.017,0.378,0.233,0.157,0.11,0.097
0.11,0.048,-0.062,-0.079,0.086,-0.006,0.014,0.458,0.295,0.209,0.155,0.127
0.132,0.066,-0.065,-0.098,0.098,0.001,0.019,0.519,0.345,0.26,0.195,0.153
0.144,0.08,-0.064,-0.111,0.103,0.007,0.026,0.547,0.372,0.283,0.214,0.167
0.132,0.073,-0.059,-0.102,0.095,0.007,0.035,0.54,0.361,0.276,0.212,0.165
0.131,0.078,-0.054,-0.104,0.092,0.012,0.044,0.488,0.323,0.255,0.199,0.162
0.106,0.056,-0.05,-0.081,0.077,0.003,0.045,0.394,0.259,0.208,0.153,0.124
0.056,0.011,-0.045,-0.033,0.05,-0.017,0.045,0.289,0.174,0.137,0.099,0.075
0.036,-0.005,-0.04,-0.015,0.038,-0.022,0.045,0.198,0.103,0.068,0.051,0.036
0.011,-0.032,-0.043,0.011,0.028,-0.037,0.045,0.13,0.052,0.018,0.0,0.001
-0.011,-0.056,-0.046,0.034,0.017,-0.05,0.044,0.086,0.012,-0.021,-0.032,-0.02
-0.023,-0.068,-0.044,0.046,0.011,-0.056,0.04,0.051,-0.01,-0.046,-0.048,-0.035
-0.036,-0.081,-0.045,0.059,0.005,-0.063,0.041,0.031,-0.018,-0.058,-0.063,-0.037
-0.043,-0.087,-0.044,0.065,0.001,-0.065,0.038,0.026,-0.024,-0.064,-0.069,-0.034
-0.041,-0.087,-0.046,0.064,0.003,-0.067,0.034,0.021,-0.031,-0.069,-0.069,-0.035
-0.031,-0.081,-0.05,0.056,0.01,-0.065,0.036,0.018,-0.044,-0.068,-0.065,-0.035
-0.027,-0.077,-0.05,0.052,0.012,-0.063,0.031,0.012,-0.045,-0.064,-0.065,-0.036
-0.023,-0.072,-0.05,0.047,0.014,-0.061,0.03,0.011,-0.038,-0.066,-0.063,-0.033
-0.017,-0.068,-0.05,0.042,0.016,-0.059,0.03,0.017,-0.035,-0.061,-0.059,-0.03
-0.013,-0.063,-0.05,0.038,0.019,-0.056,0.026,0.023,-0.03,-0.06,-0.061,-0.028
-0.01,-0.06,-0.05,0.035,0.02,-0.055,0.024,0.029,-0.026,-0.06,-0.055,-0.025
-0.007,-0.057,-0.05,0.032,0.021,-0.053,0.027,0.034,-0.022,-0.051,-0.045,-0.022
-0.005,-0.055,-0.05,0.03,0.023,-0.052,0.031,0.035,-0.016,-0.038,-0.034,-0.02
-0.001,-0.051,-0.05,0.026,0.024,-0.05,0.029,0.036,-0.012,-0.03,-0.027,-0.02
0.0,-0.05,-0.05,0.025,0.025,-0.05,0.026,0.036,-0.008,-0.03,-0.03,-0.02
-0.001,-0.05,-0.049,0.026,0.024,-0.049,0.024,0.034,-0.002,-0.03,-0.03,-0.02
-0.006,-0.051,-0.045,0.029,0.019,-0.047,0.02,0.035,-0.001,-0.03,-0.032,-0.02
-0.018,-0.064,-0.045,0.041,0.014,-0.055,0.021,0.035,-0.008,-0.03,-0.036,-0.02
-0.023,-0.066,-0.042,0.045,0.01,-0.054,0.025,0.035,-0.012,-0.03,-0.035,-0.021
-0.025,-0.065,-0.039,0.045,0.008,-0.052,0.025,0.034,-0.017,-0.035,-0.039,-0.025
-0.023,-0.063,-0.04,0.043,0.009,-0.051,0.025,0.027,-0.024,-0.039,-0.042,-0.029
-0.02,-0.059,-0.04,0.039,0.01,-0.049,0.025,0.021,-0.028,-0.042,-0.046,-0.036
-0.02,-0.06,-0.04,0.04,0.01,-0.05,0.025,0.014,-0.035,-0.047,-0.052,-0.041
-0.024,-0.063,-0.039,0.044,0.008,-0.051,0.029,0.007,-0.034,-0.05,-0.059,-0.039
-0.039,-0.079,-0.041,0.059,0.001,-0.06,0.03,0.001,-0.038,-0.057,-0.063,-0.043
-0.048,-0.086,-0.039,0.067,-0.004,-0.062,0.03,-0.004,-0.05,-0.068,-0.066,-0.045
-0.039,-0.084,-0.045,0.062,0.003,-0.064,0.03,-0.005,-0.05,-0.07,-0.069,-0.045
-0.029,-0.085,-0.056,0.058,0.014,-0.071,0.029,-0.006,-0.05,-0.07,-0.072,-0.048
-0.034,-0.085,-0.051,0.059,0.009,-0.067,0.032,-0.012,-0.05,-0.074,-0.075,-0.051
-0.037,-0.086,-0.049,0.061,0.007,-0.067,0.034,-0.02,-0.05,-0.076,-0.074,-0.055
-0.036,-0.08,-0.044,0.059,0.004,-0.062,0.038,-0.016,-0.05,-0.075,-0.066,-0.055
-0.03,-0.071,-0.041,0.05,0.006,-0.056,0.04,-0.009,-0.04,-0.068,-0.058,-0.048
-0.028,-0.062,-0.034,0.046,0.003,-0.048,0.045,-0.002,-0.03,-0.057,-0.05,-0.041
-0.048,-0.053,-0.005,0.051,-0.021,-0.029,0.045,0.004,-0.02,-0.048,-0.042,-0.034
-0.032,-0.032,0.0,0.032,-0.015,-0.016,0.042,0.012,-0.011,-0.037,-0.043,-0.027
-0.003,-0.015,-0.013,0.009,0.005,-0.014,0.036,0.03,-0.01,-0.028,-0.046,-0.024
0.012,-0.006,-0.018,-0.002,0.015,-0.012,-0.009,0.024,-0.005,-0.018,-0.045,-0.026
0.028,-0.002,-0.031,-0.013,0.029,-0.016,-0.027,0.007,-0.007,-0.007,-0.049,-0.024
0.008,-0.033,-0.041,0.013,0.025,-0.037,-0.012,-0.015,-0.033,-0.027,-0.051,-0.027
0.006,-0.047,-0.054,0.021,0.031,-0.05,-0.009,-0.05,-0.051,-0.056,-0.048,-0.022
0.02,-0.043,-0.062,0.011,0.042,-0.052,0.002,-0.049,-0.051,-0.063,-0.064,-0.03
-0.011,-0.067,-0.056,0.039,0.022,-0.061,0.008,-0.059,-0.071,-0.076,-0.069,-0.055
-0.044,-0.101,-0.057,0.073,0.007,-0.079,0.019,-0.058,-0.091,-0.111,-0.1,-0.084
-0.067,-0.116,-0.049,0.091,-0.009,-0.082,0.012,-0.056,-0.098,-0.098,-0.103,-0.086
-0.086,-0.138,-0.052,0.112,-0.017,-0.095,0.008,-0.056,-0.116,-0.122,-0.111,-0.092
-0.1,-0.142,-0.042,0.121,-0.029,-0.091,0.006,-0.043,-0.09,-0.107,-0.102,-0.092
-0.111,-0.146,-0.035,0.129,-0.037,-0.09,-0.006,-0.056,-0.109,-0.107,-0.094,-0.081
-0.084,-0.148,-0.065,0.116,-0.009,-0.106,0.086,0.1,-0.014,-0.107,-0.141,-0.139
-0.056,-0.095,-0.039,0.076,-0.009,-0.067,0.152,0.289,0.23,0.096,-0.037,-0.108
0.102,0.114,0.012,-0.108,0.045,0.063,0.116,0.474,0.745,0.624,0.406,0.204
0.487,0.585,0.098,-0.536,0.194,0.342,-0.125,0.087,1.116,1.585,1.417,1.016
0.414,0.6,0.186,-0.507,0.114,0.393,-0.598,-1.287,-0.157,0.868,1.164,1.13
-0.094,0.082,0.177,0.006,-0.135,0.129,-0.681,-1.863,-1.485,-0.884,-0.323,0.119
-0.194,-0.173,0.021,0.183,-0.107,-0.076,-0.341,-1.047,-1.057,-0.865,-0.569,-0.282
-0.082,-0.159,-0.077,0.121,-0.002,-0.118,-0.116,-0.317,-0.383,-0.359,-0.269,-0.158
-0.067,-0.088,-0.021,0.078,-0.023,-0.054,-0.017,-0.095,-0.139,-0.183,-0.155,-0.123
-0.057,-0.068,-0.011,0.063,-0.023,-0.039,0.027,-0.031,-0.072,-0.096,-0.095,-0.072
-0.069,-0.073,-0.004,0.071,-0.033,-0.038,0.032,-0.009,-0.068,-0.113,-0.117,-0.076
-0.065,-0.066,-0.001,0.066,-0.032,-0.034,0.037,0.003,-0.044,-0.075,-0.082,-0.063
-0.056,-0.067,-0.011,0.062,-0.022,-0.038,0.031,0.021,-0.045,-0.086,-0.09,-0.062
-0.052,-0.064,-0.011,0.058,-0.02,-0.037,0.03,0.046,-0.027,-0.064,-0.072,-0.055
-0.048,-0.064,-0.015,0.057,-0.016,-0.04,0.027,0.045,-0.021,-0.063,-0.073,-0.049
-0.047,-0.055,-0.009,0.051,-0.019,-0.032,0.024,0.048,-0.01,-0.053,-0.066,-0.047
-0.041,-0.051,-0.01,0.046,-0.015,-0.03,0.022,0.064,0.001,-0.045,-0.058,-0.042
-0.039,-0.045,-0.005,0.043,-0.017,-0.025,0.018,0.064,0.007,-0.04,-0.057,-0.042
-0.034,-0.038,-0.004,0.036,-0.014,-0.021,0.033,0.083,0.027,-0.025,-0.046,-0.036
-0.017,-0.027,-0.01,0.022,-0.003,-0.019,0.046,0.117,0.052,-0.019,-0.04,-0.036
0.0,-0.018,-0.018,0.009,0.009,-0.017,0.041,0.139,0.065,-0.005,-0.024,-0.031
0.008,-0.007,-0.015,0.0,0.011,-0.011,0.038,0.178,0.089,0.01,-0.011,-0.013
0.022,0.006,-0.015,-0.013,0.018,-0.004,0.035,0.242,0.137,0.047,0.021,0.016
0.029,0.016,-0.013,-0.022,0.02,0.002,0.031,0.312,0.19,0.095,0.054,0.038
0.053,0.044,-0.009,-0.048,0.031,0.017,0.028,0.385,0.246,0.145,0.087,0.067
0.089,0.078,-0.011,-0.084,0.05,0.034,0.024,0.457,0.306,0.198,0.139,0.105
0.097,0.106,0.009,-0.102,0.044,0.058,0.026,0.518,0.37,0.258,0.182,0.14
0.112,0.125,0.013,-0.119,0.049,0.069,0.021,0.546,0.398,0.292,0.211,0.169
0.13,0.132,0.003,-0.131,0.063,0.067,0.02,0.539,0.385,0.291,0.223,0.171
0.131,0.13,-0.001,-0.13,0.066,0.064,0.02,0.484,0.353,0.274,0.209,0.158
0.122,0.112,-0.01,-0.117,0.066,0.05,0.024,0.379,0.284,0.22,0.164,0.127
